hotelcode,hotelid,hotelname
1172,S010172,アパホテル＜札幌すすきの駅西＞
1173,S010173,Ｔマークシティホテル札幌
1174,S010174,ジャスマックプラザホテル
1176,S010176,メルキュールホテル札幌
1177,S010177,ホテルビスタ札幌［大通］
1178,S010178,ホテルルートイン札幌中央
1179,S010179,ホテルマイステイズプレミア札幌パーク
1180,S010180,札幌エクセルホテル東急
1181,S010181,札幌パークホテル
1182,S010182,クインテッサホテル札幌
1183,S010183,ホテルライフォート札幌
1185,S010185,ホテルビスタ札幌中島公園
1187,S010187,ホテルリソル札幌 中島公園
1189,S010189,イビススタイルズ札幌
1190,S010190,プレミアホテル−ＴＳＵＢＡＫＩ−札幌
1191,S010191,ホテルルートイン札幌白石
1192,S010192,シャトレーゼ ガトーキングダムサッポロ ホテル＆スパリゾート
1193,S010193,ホテルエミシア札幌
1194,S010194,アパホテル＆リゾート＜札幌＞
1195,S010195,札幌北広島クラッセホテル
1196,S010196,定山渓ビューホテル
1197,S010197,定山渓万世閣ホテルミリオーネ
1198,S010198,グランドブリッセンホテル定山渓
1199,S010199,奥定山渓温泉 佳松御苑
1200,S010200,ホテル鹿の湯
1201,S010201,章月グランドホテル
1202,S010202,定山渓第一寶亭留 翠山亭
1203,S010203,定山渓ホテル
1204,S010204,ぬくもりの宿 ふる川
1206,S010206,定山渓鶴雅リゾートスパ森の謌
1207,S010207,オーセントホテル小樽
1208,S010208,灯の湯 ドーミーイン ＰＲＥＭＩＵＭ小樽
1209,S010209,ホテルノルド小樽
1210,S010210,ホテルソニア小樽
1211,S010211,運河の宿 おたる ふる川
1212,S010212,グランドパーク小樽
1213,S010213,料亭湯宿 銀鱗荘
1214,S010214,ホテルノイシュロス小樽
1215,S010215,小樽朝里クラッセホテル
1216,S010216,キロロ トリビュート ポートフォリオ ホテル北海道
1217,S010217,シェラトン北海道キロロリゾート
1218,S010218,ホテルグランテラス千歳
1219,S010219,ＡＮＡクラウンプラザホテル千歳
1220,S010220,千歳エアポートホテル
1221,S010221,千歳第一ホテル
1222,S010222,ホテルルートイン千歳駅前
1223,S010223,エアターミナルホテル
1224,S010224,しこつ湖鶴雅リゾートスパ水の謌
1225,S010225,休暇村 支笏湖
1226,S010226,丸駒温泉旅館
1227,S010227,グランドホテルニュー王子
1230,S010230,ホテルルートイン苫小牧駅前
1231,S010231,天然温泉 樽前の湯 ドーミーイン苫小牧
1232,S010232,ＨＯＴＥＬ ＮＩＤＯＭ
1233,S010233,ホテルまほろば
1234,S010234,名湯の宿パークホテル雅亭
1235,S010235,旅亭 花ゆら
1236,S010236,登別 石水亭
1237,S010237,望楼ＮＯＧＵＣＨＩ登別
1238,S010238,第一滝本館
1240,S010240,祝いの宿登別グランドホテル
1241,S010241,登別万世閣
1242,S010242,ホテルゆもと登別
1243,S010243,登別温泉郷 滝乃家
1244,S010244,滝乃家別館 玉乃湯
1245,S010245,室蘭プリンスホテル
1246,S010246,ホテルルートイン東室蘭駅前
1247,S010247,緑の風リゾートきたゆざわ
1248,S010248,きたゆざわ 森のソラニワ
1249,S010249,北湯沢温泉郷 湯元 ホロホロ山荘
1250,S010250,洞爺サンパレス リゾート＆スパ
1251,S010251,ザ レイクビューＴＯＹＡ 乃の風リゾート
1252,S010252,絶景の湯宿 洞爺 湖畔亭
1253,S010253,洞爺湖万世閣ホテルレイクサイドテラス
1254,S010254,洞爺観光ホテル
1255,S010255,ゆとりろ洞爺湖
1256,S010256,ホテルグランドトーヤ
1257,S010257,ザ・ウィンザーホテル洞爺リゾート＆スパ
1259,S010259,ニセコ昆布温泉ホテル甘露の森
1260,S010260,ニセコグランドホテル
1261,S010261,ニセコ昆布温泉 鶴雅別荘 杢の抄
1262,S010262,ナチュラルリゾートニセコワイスホテル
1263,S010263,湯元ニセコプリンスホテルひらふ亭
1264,S010264,ホテルニセコアルペン
1266,S010266,ＨＴＨｏｌｉｄａｙｓ
1267,S010267,ニセコひらふペンション村
1271,S010271,ニセコひらふ教育旅行協会
1273,S010273,ニセコノーザンリゾート・アンヌプリ
1274,S010274,いこいの湯宿 いろは
1275,S010275,ヒルトンニセコビレッジ
1276,S010276,ザ・グリーンリーフ・ニセコビレッジ
1277,S010277,ルスツリゾートホテル
1278,S010278,ウェスティン ルスツリゾート
1279,S010279,函館国際ホテル
1280,S010280,フォーポイントバイシェラトン函館
1281,S010281,スマイルホテル函館
1282,S010282,ホテルリソル函館
1283,S010283,ＨＡＫＯＤＡＴＥ男爵倶楽部ＨＯＴＥＬ＆ＲＥＳＯＲＴＳ
1284,S010284,アパホテル＜函館駅前＞
1285,S010285,ルートイングランティア函館駅前
1286,S010286,ホテル函館ロイヤル
1288,S010288,ラビスタ函館ベイ
1289,S010289,ホテルＷＢＦグランデ函館
1290,S010290,ウイニングホテル
1291,S010291,函館元町ホテル
1292,S010292,ホテル法華クラブ函館
1293,S010293,ホテルマイステイズ函館五稜郭
1294,S010294,ルートイングランティア函館五稜郭
1295,S010295,平成館海羊亭
1296,S010296,平成館しおさい亭
1297,S010297,湯元啄木亭
1298,S010298,望楼ＮＯＧＵＣＨＩ函館
1299,S010299,湯の川観光ホテル祥苑
1300,S010300,湯の川プリンスホテル渚亭
1301,S010301,イマジン ホテル＆リゾート函館
1302,S010302,ホテル万惣
1303,S010303,花びしホテル
1304,S010304,竹葉新葉亭
1305,S010305,湯の浜ホテル
1306,S010306,純和風旅館 一乃松
1307,S010307,割烹旅館 若松
1308,S010308,大黒屋旅館
1310,S010310,函館大沼プリンスホテル
1311,S010311,グリーンピア大沼
1312,S010312,ロイヤルホテル みなみ北海道鹿部
1314,S010314,奥尻湯ノ浜温泉ホテル緑館
1315,S020001,むつグランドホテル
1316,S020002,ホテルニュー薬研
1317,S020003,まかど観光ホテル
1319,S020005,ホテルＪＡＬシティ青森
1320,S020006,ホテル青森
1321,S020007,ホテル サンルート青森
1322,S020008,アートホテル青森
1324,S020010,ホテル２１３５
1325,S020011,ホテルルートイン青森駅前
1326,S020012,ホテルクラウンパレス青森
1327,S020013,青森国際ホテル
1328,S020014,南部屋・海扇閣
1330,S020016,本陣の宿 柳の湯
1331,S020017,絶景の宿 浅虫さくら観光ホテル
1332,S020018,椿館
1334,S020020,ホテル秋田屋
1336,S020022,ホテル十和田荘
1337,S020023,十和田湖レークサイドホテル
1338,S020024,民宿十和田湖山荘
1341,S020027,酸ヶ湯温泉旅館
1342,S020028,八甲田ホテル
1343,S020029,ＨＯＴＥＬ Ｊｏｇａｋｕｒａ
1345,S020031,ホテルグローバルビュー八戸アネックス
1347,S020033,八戸パークホテル
1349,S020035,八戸プラザホテル
1350,S020036,スマイルホテル八戸
1352,S020038,ホテルパールシティ八戸
1353,S020039,ダイワロイネットホテル八戸
1354,S020040,八戸シーガルビューホテル 花と月の渚
1355,S020041,ホテル竜飛
1356,S020042,稲垣温泉ホテル 花月亭
1357,S020043,ホテルグランメール山海荘
1358,S020044,ロックウッド・ホテル＆スパ
1359,S020045,深浦観光ホテル
1360,S020046,アオーネ白神十二湖
1361,S020047,ホテルニューキャッスル
1362,S020048,アートホテル弘前シティ
1363,S020049,弘前パークホテル
1364,S020050,弘前プラザホテル
1365,S020051,スマイルホテル弘前
1366,S020052,アクアグリーンビレッジＡＮＭＯＮ
1367,S020053,ブナの里白神館
1368,S020054,ホテルアップルランド
1369,S020055,不二やホテル
1371,S020057,青森ワイナリーホテル
1372,S030001,ホテル安比グランド
1373,S030002,安比ヒルズ白樺の森３
1374,S030003,安比高原温泉ホテル
1375,S030004,ラビスタ安比高原
1376,S030005,新安比温泉 静流閣
1377,S030006,アクティブリゾーツ 岩手八幡平
1378,S030007,八幡平マウンテンホテル
1379,S030008,八幡平ライジングサンホテル
1380,S030009,八幡平ハイツ
1382,S030011,いこいの村岩手
1383,S030012,松川荘
1384,S030013,ホテルメトロポリタン盛岡
1385,S030014,ホテルパールシティ盛岡
1386,S030015,アートホテル盛岡
1387,S030016,ホテルメトロポリタン盛岡 ＮＥＷ ＷＩＮＧ
1388,S030017,盛岡グランドホテル アネックス
1389,S030018,ホテルルートイン盛岡駅前
1390,S030019,ダイワロイネットホテル盛岡
1391,S030020,ホテルニューカリーナ
1392,S030021,ホテル紫苑
1393,S030022,愛真館
1394,S030023,湯守 ホテル大観
1395,S030024,雫石プリンスホテル
1396,S030025,ホテル森の風 鶯宿
1397,S030026,長栄館
1398,S030027,ホテル偕楽苑
1399,S030028,ホテル加賀助
1400,S030029,休暇村 岩手網張温泉
1401,S030030,花巻温泉 ホテル紅葉館
1402,S030031,花巻温泉 ホテル花巻
1403,S030032,花巻温泉 佳松園
1404,S030033,花巻温泉 ホテル千秋閣
1405,S030034,湯の杜 ホテル志戸平
1406,S030035,大沢温泉 山水閣
1407,S030036,結びの宿 愛隣館
1408,S030037,渡り温泉
1409,S030038,山の神温泉 優香苑
1410,S030039,ホテル森の風沢内銀河高原
1411,S030040,ホテル対滝閣
1412,S030041,あえりあ遠野
1414,S030043,ベリーノホテル一関
1415,S030044,山王山温泉 瑞泉郷
1416,S030045,いつくし園
1417,S030046,渓泉閣
1418,S030047,平泉ホテル武蔵坊
1419,S030048,国民宿舎サンホテル衣川荘
1420,S030049,国民宿舎くろさき荘
1421,S030050,ホテル羅賀荘
1422,S030051,ホテル龍泉洞 愛山
1423,S030052,龍泉洞温泉ホテル
1425,S030054,宮古ホテル沢田屋
1426,S030055,休暇村 陸中宮古
1427,S030056,浄土ヶ浜パークホテル
1428,S030057,グリーンピア三陸みやこ
1430,S030059,ホテルサンルート釜石
1431,S030060,三陸花ホテルはまぎく
1432,S030061,キャピタルホテル１０００
1433,S040001,鳴子ホテル
1434,S040002,源蔵の湯 鳴子観光ホテル
1435,S040003,大江戸温泉物語 鳴子温泉 幸雲閣
1436,S040004,湯の謌 吟の庄
1437,S040005,ホテル亀屋
1438,S040006,大江戸温泉物語 鳴子温泉 ますや
1439,S040007,リゾートパークホテルオニコウベ
1440,S040008,サンマリン気仙沼ホテル観洋
1441,S040009,気仙沼プラザホテル
1442,S040010,ホテルパールシティ気仙沼
1445,S040013,休暇村 気仙沼大島
1446,S040014,南三陸ホテル観洋
1447,S040015,華夕美
1448,S040016,ホテル松島大観荘
1449,S040017,松島温泉 湯元 松島一の坊
1450,S040018,小松館 好風亭
1451,S040019,松島センチュリーホテル
1452,S040020,大江戸温泉物語 松島温泉 ホテル壮観
1453,S040021,花ごころの湯 新富亭
1454,S040022,松島温泉元湯 ホテル 海風土
1455,S040023,リゾートイン松島
1456,S040024,ホテルモントレ仙台
1457,S040025,ホテル メトロポリタン仙台
1458,S040026,仙台ビジネスホテル駅前
1459,S040027,ホテルＪＡＬシティ仙台
1460,S040028,仙台国際ホテル
1461,S040029,ホテルパールシティ仙台
1462,S040030,ホテルモンテエルマーナ仙台
1463,S040031,アパヴィラホテル＜仙台駅五橋＞
1464,S040032,ＡＮＡホリデイ・イン仙台
1466,S040034,ホテル法華クラブ仙台
1467,S040035,ドーミーイン仙台 ＡＮＮＥＸ
1468,S040036,アークホテル仙台青葉通り
1470,S040038,ホテルグリーンセレク
1471,S040039,江陽グランドホテル
1472,S040040,スマイルホテル仙台国分町
1474,S040042,ホテルグリーンマーク
1475,S040043,三井ガーデンホテル仙台
1476,S040044,ホテルグランテラス仙台国分町
1479,S040047,ウェスティンホテル仙台
1480,S040048,ダイワロイネットホテル仙台
1482,S040050,仙台ロイヤルパークホテル
1483,S040051,仙台ヒルズホテル
1484,S040052,ホテルルートイン仙台長町インター
1485,S040053,ホテル瑞鳳
1486,S040054,ホテルニュー水戸屋
1487,S040055,篝火の湯 緑水亭
1488,S040056,伝承千年の宿 佐勘
1489,S040057,秋保グランドホテル
1490,S040058,仙台 秋保温泉 岩沼屋
1491,S040059,ホテルきよ水
1492,S040060,ホテル 華乃湯
1493,S040061,奥州秋保温泉 蘭亭
1494,S040062,秋保リゾートホテルクレセント
1495,S040063,茶寮 宗園
1496,S040064,Ｌａ楽リゾートホテル・グリーングリーン
1497,S040065,ゆづくしＳａｌｏｎ一の坊
1498,S040066,鷹泉閣 岩松旅館
1499,S040067,東京第一ホテル 岩沼リゾート
1500,S040068,アクティブリゾーツ 宮城蔵王
1501,S040069,旅館三治郎
1502,S040070,蔵王のお宿 旬樹庵 さんさ亭
1503,S040071,ラフォーレ蔵王 リゾート＆スパ
1504,S040072,あづまや旅館
1505,S040073,時音の宿 湯主一條
1506,S040074,最上屋旅館
1507,S040075,旅館かつらや
1508,S050001,縄文のふる里 大湯温泉 ホテル鹿角
1509,S050002,十和田ホテル
1511,S050004,十和田プリンスホテル
1513,S050006,山乃御振舞とわだこ賑山亭
1514,S050007,十和田湖レークビューホテル
1515,S050008,四季彩り 秋田づくし 湯瀬ホテル
1516,S050009,和心の宿 姫の湯
1517,S050010,ホテルクラウンパレス秋北
1518,S050011,ホテルメトロポリタン秋田
1519,S050012,秋田ホテル
1520,S050013,秋田温泉さとみ
1521,S050014,ホテルパールシティ秋田川反
1522,S050015,イーホテル秋田
1523,S050016,ルートイングランティア秋田 ＳＰＡ ＲＥＳＯＲＴ
1524,S050017,ホテルドーミーイン秋田
1525,S050018,ホテルパールシティ秋田竿燈大通り
1526,S050019,ホテルパールシティ秋田大町
1527,S050020,秋田キャッスルホテル
1528,S050021,アルバートホテル秋田
1529,S050022,男鹿温泉 結いの宿 別邸つばき
1530,S050023,男鹿ホテル
1531,S050024,男鹿観光ホテル
1532,S050025,元湯 雄山閣
1533,S050026,セイコーグランドホテル
1534,S050027,男鹿萬盛閣
1536,S050029,国民宿舎男鹿
1537,S050030,海と入り陽の宿 帝水
1538,S050031,ホテルサンルーラル大潟
1540,S050033,天然温泉 田沢湖レイクリゾート
1541,S050034,プラザホテル山麓荘
1542,S050035,駒ヶ岳グランドホテル
1543,S050036,ハイランドホテル 山荘
1545,S050038,ホテル湖心亭
1546,S050039,田沢湖ローズパークホテル
1548,S050041,休暇村 乳頭温泉郷
1549,S050042,角館温泉 花葉館
1550,S050043,温泉ゆぽぽ
1551,S050044,新玉川温泉
1554,S060002,ゆめみの宿観松館
1555,S060003,天童ホテル
1556,S060004,ほほえみの宿 滝の湯
1557,S060005,ホテル王将
1558,S060006,桜桃の花 湯坊いちらく
1559,S060007,栄屋ホテル
1561,S060009,天童グランドホテル 舞鶴荘
1563,S060011,ホテルパールシティ天童
1564,S060012,よし田川別館
1565,S060013,たびやかた嵐湯
1566,S060014,仙峡の宿 銀山荘
1567,S060015,滝と蕎麦の宿 瀧見舘
1568,S060016,ホテルメトロポリタン山形
1569,S060017,山形国際ホテル
1570,S060018,山形グランドホテル
1571,S060019,ホテルキャッスル山形
1572,S060020,ホテルサンルート山形
1573,S060021,山形七日町ワシントンホテル
1574,S060022,ホテルルートイン山形駅前
1575,S060023,蔵王国際ホテル
1576,S060024,蔵王四季のホテル
1577,S060025,タカミヤヴィレッジ ホテル樹林
1578,S060026,ホテルルーセントタカミヤ
1579,S060027,ゲレンデサイト オーベルジュＺ
1580,S060028,深山荘高見屋
1581,S060029,おおみや旅館
1582,S060030,ＺＡＯセンタープラザ
1583,S060031,ホテル蔵王
1584,S060032,源泉湯宿 蔵王プラザホテル
1585,S060033,たかみや瑠璃倶楽リゾート
1586,S060034,名湯舎 創
1587,S060035,ホテルハモンドたかみや
1588,S060036,ホテル喜らく
1589,S060037,ホテル松金屋アネックス
1590,S060038,岩清水料理の宿 季の里
1591,S060039,最上高湯 善七乃湯
1592,S060040,蔵王 和歌の宿わかまつや
1593,S060041,ホテル オークヒル
1594,S060042,堺屋旅館
1595,S060043,堺屋森のホテル ヴァルトベルク
1596,S060044,旅館 吉田屋
1597,S060045,スターライトホテル 樹氷の家
1598,S060046,蔵王ライザウッディロッジ
1599,S060047,日本の宿古窯
1600,S060048,仙渓園 月岡ホテル
1601,S060049,展望露天の湯有馬館
1602,S060050,果実の山 あづま屋
1603,S060051,ニュー村尾 浪漫館
1604,S060052,山形座 瀧波
1605,S060053,上杉の御湯 御殿守
1606,S060054,ホテルモントビュー米沢
1607,S060055,中屋別館 不動閣
1608,S060056,別邸 山の季
1609,S060057,鈴の宿 登府屋旅館
1610,S060058,湯杜 匠味庵 山川
1611,S060059,鳥海自然文化館 遊楽里
1612,S060060,ホテルリッチ＆ガーデン酒田
1613,S060061,若葉旅館
1614,S060062,鶴岡ワシントンホテル
1615,S060063,游水亭いさごや
1616,S060064,亀や
1617,S060065,海辺の宿 都屋
1618,S060066,ホテル海山
1619,S060067,華夕美 日本海
1620,S060068,愉海亭 みやじま
1621,S060069,ホテル 海麓園
1622,S060070,海辺の宿 福住
1623,S060071,タカミヤ湯の浜テラス 西洋茶寮
1625,S060073,ホテル八乙女
1626,S060074,萬国屋
1627,S060075,たちばなや
1628,S060076,休暇村 庄内羽黒
1629,S060077,出羽三山神社 斎館
1631,S070001,ホテルサンルート福島
1632,S070002,ＨＯＴＥＬ ＳＡＮＫＹＯ ＦＵＫＵＳＨＩＭＡ
1633,S070003,福島リッチホテル
1634,S070004,ザ・セレクトン福島
1635,S070005,飯坂ホテルジュラク
1636,S070006,祭屋 湯左衛門
1637,S070007,摺上亭 大鳥
1638,S070008,伊勢屋
1641,S070011,吉川屋
1642,S070012,山房月之瀬
1643,S070013,旅館 玉子湯
1644,S070014,花月ハイランドホテル
1645,S070015,風望天流太子の湯 山水荘
1647,S070017,向瀧旅館
1648,S070018,山根屋旅館
1652,S070022,おもてなしの宿 旅館松雲閣
1653,S070023,野地温泉ホテル
1654,S070024,陽日の郷 あづま館
1655,S070025,鏡が池 碧山亭
1656,S070026,櫟平ホテル
1659,S070029,チサンホテル郡山
1660,S070030,郡山ワシントンホテル
1661,S070031,ホテルハマツ
1662,S070032,郡山ビューホテル アネックス
1663,S070033,スターホテル郡山
1665,S070035,ホテル華の湯
1666,S070036,四季彩 一力
1667,S070037,萩姫の湯 栄楽館
1669,S070039,ホテル＆コテージ白河関の里
1670,S070040,羽鳥湖高原レジーナの森
1671,S070041,八幡屋
1672,S070042,ルネサンス棚倉
1673,S070043,裏磐梯レイクリゾート
1675,S070045,裏磐梯高原ホテル
1676,S070046,休暇村 裏磐梯
1677,S070047,アクティブリゾーツ 裏磐梯
1679,S070049,裏磐梯グランデコ東急ホテル
1680,S070050,ホテルリステル猪苗代
1681,S070051,星野リゾート 磐梯山温泉ホテル
1683,S070053,リゾートイン磐梯
1684,S070054,ヴィライナワシロ
1685,S070055,猪苗代観光ホテル
1686,S070056,レイクサイドホテル みなとや
1687,S070057,ホテル プルミエール箕輪
1688,S070058,森の旅亭 マウント磐梯
1689,S070059,田村屋旅館
1690,S070060,花見屋旅館
1691,S070061,駅前フジグランドホテル
1692,S070062,会津若松ワシントンホテル
1693,S070063,御宿 東鳳
1694,S070064,原瀧
1695,S070065,庄助の宿 瀧の湯
1696,S070066,東山グランドホテル
1697,S070067,くつろぎ宿 千代滝
1698,S070068,今昔亭
1699,S070069,大川荘
1700,S070070,丸峰
1701,S070071,芦ノ牧グランドホテル
1702,S070072,芦ノ牧プリンスホテル
1704,S070074,不動館 小谷の湯
1705,S070075,熱塩温泉 山形屋
1706,S070076,藤龍館
1707,S070077,会津高原ホテル
1708,S070078,会津アストリアホテル
1710,S070080,会津アストリアロッジ
1711,S070081,尾瀬御池ロッジ
1712,S070082,尾瀬沼ヒュッテ
1713,S070083,ホテル ハワイアンズ
1714,S070084,ときわの宿 浜とく
