hotelcode,hotelid,hotelname
2033,S120089,シェラトン・グランデ・トーキョーベイ・ホテル
2035,S120091,ホテルオークラ東京ベイ
2037,S120093,東京ベイ舞浜ホテル
2038,S120094,ディズニーアンバサダー（Ｒ）ホテル
2039,S120095,東京ディズニーランド（Ｒ）ホテル
2040,S120096,東京ディズニーシー・ホテルミラコスタ（Ｒ）
110863,S120272,ホテル 洲の崎 風の抄
146043,S120349,ハイアットリージェンシー東京ベイ
148295,S120359,グランドニッコー東京ベイ 舞浜
151444,S120387,広丞庵 かのか
151652,S120390,渓谷別庭 もちの木
152340,S120398,鳥居崎倶楽部ＨＯＴＥＬ＆ＳＥＡＦＯＯＤＳ
2057,S130003,丸ノ内ホテル
2059,S130005,シャングリ・ラ 東京
2060,S130006,マンダリンオリエンタル東京
2061,S130007,帝国ホテル
2063,S130009,ザ・ペニンシュラ東京
2064,S130010,三井ガーデンホテル銀座プレミア
2080,S130026,ロイヤルパークホテル
2088,S130034,ザ ロイヤルパークホテル アイコニック 東京汐留
2090,S130036,コンラッド東京
2096,S130042,ザ・プリンスパークタワー東京
2100,S130046,ホテル ザ セレスティン 東京芝（旧セレスティンホテル）
2105,S130051,グランドプリンスホテル高輪
2106,S130052,グランドプリンスホテル新高輪
2109,S130055,ザ・プリンスさくらタワー東京
2111,S130057,東京マリオットホテル
2118,S130064,シェラトン都ホテル東京
2119,S130065,ウェスティンホテル東京
2123,S130069,セルリアンタワー東急ホテル
2135,S130081,京王プラザホテル
2141,S130087,ハイアット リージェンシー 東京
2148,S130094,リーガロイヤルホテル東京
2149,S130095,ホテル椿山荘東京
2171,S130117,庭のホテル東京
2185,S130131,グランドハイアット東京
2189,S130135,ザ・リッツ・カールトン東京
2191,S130137,ホテルニューオータニ
2199,S130145,ザ・キャピトルホテル 東急
2233,S130179,グランドニッコー東京 台場
2234,S130180,ヒルトン東京お台場
2265,S130211,フォレスト・イン 昭和館
5204,S130223,ホテル雅叙園東京
32743,S130265,パレスホテル東京
34384,S130270,ＴＨＥ ＧＡＴＥ ＨＯＴＥＬ 雷門 ｂｙ ＨＵＬＩＣ
34763,S130273,東京ステーションホテル
50583,S130325,ミレニアム三井ガーデンホテル東京
135523,S130764,アマン東京
142780,S130824,アスコット丸の内東京
147053,S130898,Ｔｈｅ Ｏｋｕｒａ Ｔｏｋｙｏ
147922,S130906,ザ・キタノホテル東京
148119,S130908,メズム東京、オートグラフコレクション
150817,S130995,東京エディション虎ノ門
151097,S131009,ホテル ザ セレスティン銀座
