hotelcode,hotelid,hotelname
151570,S290168,うぶすなの郷 ＴＯＭＩＭＯＴＯ
151658,S290169,ＮＩＰＰＯＮＩＡ 田原本 マルト醤油
151670,S290170,和鹿彩 別邸
151680,S290171,セトレ ならまち
4120,S300007,碧き島の宿 熊野別邸 中の島
4138,S300025,白浜古賀の井リゾート＆スパ
4141,S300028,ＩＮＦＩＮＩＴＯ ＨＯＴＥＬ＆ＳＰＡ 南紀白浜（インフィニートホテル＆スパ 南紀白浜）
4144,S300031,ホテル川久
151669,S300201,ＸＹＺ スペチアーレ
4225,S310008,依山楼岩崎
4228,S310011,三朝薬師の湯 万翆楼
4242,S310025,華水亭
134603,S310076,三朝温泉 旅館大橋
4255,S320004,なにわ一水
4256,S320005,松平閣
4260,S320009,佳翠苑皆美
4269,S320018,湯之助の宿 長楽園
66383,S320101,皆美館
134487,S320141,旅館ぬしや
136928,S320142,天然温泉大社の湯 いにしえの宿 佳雲
4298,S330007,季譜の里
4302,S330011,ホテルリマーニ
63603,S330064,料理旅館 鶴形
146468,S330125,ザ・シロヤマテラス津山別邸
151553,S330137,登録有形文化財の宿 名泉鍵湯 奥津荘
4347,S340007,ホテル鴎風亭
4363,S340023,ホテルグランヴィア広島
4365,S340025,リーガロイヤルホテル広島
4401,S340061,宮島グランドホテル有もと
4402,S340062,岩惣
5258,S340074,シェラトングランドホテル広島
30544,S340078,汀邸遠音近音
151276,S340264,江田島荘
151445,S340266,Ａｚｕｍｉ Ｓｅｔｏｄａ
4426,S350013,松田屋ホテル
4435,S350022,萩本陣
4436,S350023,萩城三の丸 北門屋敷
4439,S350026,和のオーベルジュ 萩八景 雁嶋別荘
4442,S350029,萩の宿 常茂恵
4444,S350031,大谷山荘
4454,S350041,春帆楼本店
44963,S350055,やまぐち・湯田温泉 古稀庵
142789,S350111,下関温泉 風の海
4475,S360013,アオアヲ ナルト リゾート
4482,S360020,和の宿 ホテル祖谷温泉
4489,S370004,夕凪の湯 ＨＯＴＥＬ 花樹海
4506,S370021,ことひら温泉 琴参閣
4507,S370022,琴平グランドホテル 桜の抄
4508,S370023,湯元こんぴら温泉華の湯 紅梅亭
146755,S370107,ことひら温泉 御宿 敷島館
4543,S380018,大和屋本店
4544,S380019,道後舘
4547,S380022,ホテル古湧園 遥
4549,S380024,道後御湯
4552,S380027,ふなや
4556,S380031,道後温泉八千代
4560,S380035,別邸 朧月夜
151739,S380143,道後温泉 葛城 琴の庭
152311,S380145,ＧＬＡＭＰＲＯＯＫしまなみ
152774,S380146,大和屋別荘
153015,S380147,ＨＯＴＥＬ ＬＥＰＯ ＣＨＡＨＡＬ
153016,S380148,ＣＨＡＨＡＲＵ離れ 道後夢蔵
4570,S390002,城西館
4591,S390023,足摺パシフィックホテル花椿
151755,S390132,オーベルジュ土佐山
4601,S400004,リーガロイヤルホテル小倉
4613,S400016,都ホテル 博多
4616,S400019,ホテル日航福岡
4634,S400037,ホテルオークラ福岡
4642,S400045,西鉄グランドホテル
4644,S400047,ソラリア西鉄ホテル福岡
4656,S400059,ヒルトン福岡シーホーク
4659,S400062,ザ・ルイガンズ．スパ＆リゾート
4660,S400063,大丸別荘
30176,S400084,ザ ロイヤルパークホテル 福岡
46303,S400099,柳川藩主立花邸 御花
104003,S400222,アゴーラ福岡山の上ホテル＆スパ
132963,S400234,オテルグレージュ
145848,S400271,Ｇｒａｎｄ Ｅｍｐｉｒｅ Ｈｏｔｅｌ
152696,S400341,百年庭園の宿 翠水
4676,S410007,古湯温泉 ＯＮＣＲＩ
4677,S410008,唐津シーサイドホテル
4699,S410030,萬象閣敷島
4700,S410031,嬉野観光ホテル大正屋
55803,S410038,洋々閣
99903,S410069,ハミルトン宇礼志野
151753,S410086,太良嶽温泉 蟹御殿
4712,S420011,ホテルヨーロッパ（ハウステンボス直営）
4713,S420012,ホテルアムステルダム（ハウステンボス直営）
4715,S420014,ホテルオークラＪＲハウステンボス
4725,S420024,ザ・ホテル長崎 ＢＷプレミアコレクション
4726,S420025,ホテルニュー長崎
4729,S420028,にっしょうかん 別邸 紅葉亭
4737,S420036,ガーデンテラス長崎ホテル＆リゾート
4766,S420065,民芸モダンの宿 雲仙福田屋
4767,S420066,東園
4768,S420067,旅亭 半水盧
35803,S420092,五島列島リゾートホテル マルゲリータ
47644,S420096,オリーブベイホテル
97663,S420134,旅亭 彩月庵
151025,S420190,ヒルトン長崎
151689,S420191,セトレグラバーズハウス長崎
4798,S430015,ホテル日航熊本
4829,S430046,湯峡の響き 優彩
4834,S430051,黒川荘
4835,S430052,奥の湯
4842,S430059,清流山水花 あゆの里
80524,S430124,はなれの宿 千の森
99443,S430144,天草 天空の船
150651,S430201,山みず木
150652,S430202,山みず木別邸 深山山荘
151651,S430204,山もみじの宿 八芳園
4852,S440003,ホテル白菊
4872,S440023,杉乃井ホテル
4881,S440032,ＡＭＡＮＥ ＲＥＳＯＲＴ ＳＥＩＫＡＩ
4901,S440052,湯布院かほりの郷 はな村
4917,S440068,旅籠 かやうさぎ
4922,S440073,山荘 天水
61923,S440101,由布の彩 ＹＡＤＯＹＡ おおはし
61924,S440102,朝霧のみえる宿 ゆふいん花由
77504,S440135,フリューゲル久住
118523,S440176,宿房 翡翠之庄〜Ｔｈｅ Ｋｉｎｇｆｉｓｈｅｒ ｒｅｓｏｒｔ〜
120463,S440187,湯布院ほてい屋
132084,S440235,べっぷ昭和園
147064,S440260,ＡＮＡインターコンチネンタル別府リゾート＆スパ
151388,S440268,ＡＭＡＮＥ ＲＥＳＯＲＴ ＧＡＨＡＭＡ
151431,S440269,由布院別邸 樹
151432,S440270,由布院温泉 東匠庵
151540,S440271,由布院 ＺＥＮ
151585,S440272,旅籠Ｈａｔａｇｏ 香乃蔵
151624,S440273,旅亭 田乃倉
151625,S440274,湯布院 山灯館
151626,S440275,由布院 寛ぎの宿 なな川
151657,S440276,ゆふいん月燈庵
151758,S440277,山荘 神和苑
152619,S440281,由布院 梅園 ＧＡＲＤＥＮ ＲＥＳＯＲＴ
4940,S450004,旅館 神仙
4947,S450011,シェラトン・グランデ・オーシャンリゾート
146576,S450103,ガーデンテラス宮崎ホテル＆リゾート
4990,S460017,ＳＨＩＲＯＹＡＭＡ ＨＯＴＥＬ ｋａｇｏｓｈｉｍａ（旧：城山観光ホテル）
5004,S460031,いぶすき 秀水園
5005,S460032,指宿白水館
5025,S460052,屋久島いわさきホテル
72683,S460113,手塚ｒｙｏｋａｎ
84243,S460163,数寄の宿 野鶴亭
126243,S460247,ＴＨＥ ＳＣＥＮＥ（ザ シーン）
129424,S460263,竹千代霧島別邸
140869,S460271,ｓａｎｋａｒａ ｈｏｔｅｌ＆ｓｐａ 屋久島
144598,S460280,ラビスタ霧島ヒルズ
151574,S460287,いやしの里 松苑 離れ
5044,S470003,ザ・ナハテラス
5108,S470067,ジ・アッタテラスクラブタワーズ
5109,S470068,ＯＫＩＮＡＷＡ ＫＡＲＩＹＵＳＨＩ ＲＥＳＯＲＴ ＥＸＥＳ ＯＮＮＡ
5113,S470072,ルネッサンスリゾート オキナワ
5114,S470073,ＡＮＡインターコンチネンタル万座ビーチリゾート
5115,S470074,シェラトン沖縄サンマリーナリゾート
5118,S470077,カフーリゾートフチャク コンド・ホテル
5122,S470081,ホテル日航アリビラ
5127,S470086,ザ・ブセナテラス
5128,S470087,オリエンタルホテル 沖縄リゾート＆スパ（旧オキナワマリオットリゾート＆スパ）
5131,S470090,ザ・リッツ・カールトン沖縄
5140,S470099,カヌチャベイホテル＆ヴィラズ
5148,S470107,オクマ プライベートビーチ ＆ リゾート
5156,S470115,宮古島東急ホテル＆リゾーツ
5158,S470117,シギラベイサイドスイート アラマンダ
5166,S470125,ＡＮＡインターコンチネンタル石垣リゾート
5167,S470126,フサキビーチリゾート ホテル＆ヴィラズ
5171,S470130,ＯＫＩＮＡＷＡ ＫＡＲＩＹＵＳＨＩ ＲＥＳＯＲＴ ＥＸＥＳ ＩＳＨＩＧＡＫＩ
5185,S470144,はいむるぶし
5271,S470153,ザ・テラスクラブ アット ブセナ
33643,S470163,リーガロイヤルグラン沖縄
34743,S470166,百名伽藍
37523,S470167,ホテルモントレ沖縄スパ＆リゾート
44583,S470171,ホテルオリオンモトブリゾート＆スパ
44584,S470172,ヒルトン沖縄北谷リゾート
61603,S470205,ジ・ウザテラス ビーチクラブヴィラズ
94625,S470350,ハイアットリージェンシー那覇沖縄
101904,S470362,オリエンタルヒルズ沖縄
115603,S470375,ＭＡＧＡＣＨＡＢＡＲＵ ＯＫＩＮＡＷＡ
116584,S470381,ヴィラブリゾート
142425,S470466,ハイアットリージェンシー瀬良垣アイランド沖縄
144167,S470489,イラフＳＵＩラグジュアリーコレクションホテル沖縄宮古
145004,S470496,ハレクラニ沖縄
145109,S470498,ＯＫＩＮＡＷＡ ＫＡＲＩＹＵＳＨＩ ＲＥＳＯＲＴ ＥＸＥＳ ＮＡＨＡ
145853,S470504,ホテルコレクティブ
145854,S470505,ホテルシギラミラージュ
146482,S470510,グランディスタイル 沖縄 読谷 ホテル＆リゾート
146484,S470511,宮古島来間リゾート シーウッドホテル
148336,S470518,ヒルトン沖縄瀬底リゾート
151029,S470549,ＭＢ ＧＡＬＬＥＲＹ ＣＨＡＴＡＮ ｂｙ ＴＨＥ ＴＥＲＲＡＣＥ ＨＯＴＥＬＳ
151032,S470551,ＨＩＹＯＲＩオーシャンリゾート沖縄
151324,S470556,ブルーオーシャンホテル＆リゾート宮古島
151571,S470561,Ｇｒａｎｄ Ｂｌｅｕ Ｇａｍｉｎ
152084,S470576,瀬底山水
152191,S470580,琉球ホテル＆リゾート 名城ビーチ
152228,S470581,ＡＱＵＡＳＥＮＳＥ Ｈｏｔｅｌ ＆ Ｒｅｓｏｒｔ
152372,S470584,ロワジールテラス＆ヴィラズ古宇利
152886,S470589,アウェイ沖縄古宇利島リゾート
